Time,VID,LVD,FDO,VIP,SSH
2,0,0,98939,1060,0
3,0,32307,66272,1420,0
5,17551,40265,41297,884,0
8,14598,50237,34350,736,76
13,25396,43697,29878,960,66
17,33802,38773,26512,852,59
18,40506,34847,23827,765,53
19,32711,28141,38484,618,42
21,37798,26014,35575,571,39
24,36315,34712,28482,457,31
29,33957,38951,26633,428,29
30,37444,36815,25172,539,28
31,37394,36765,25138,673,28
35,40568,34901,23864,639,26
39,43437,33216,22712,608,25
40,45988,31650,21641,695,24
41,45977,31643,21636,695,48
44,43819,27416,28119,602,41
45,43810,27410,28113,602,62
47,43766,27383,28085,702,62
49,41856,30552,26859,671,59
51,40068,33426,25712,734,57
54,42175,32251,24808,708,55
55,40533,34870,23843,681,70
57,40526,34864,23839,681,88
61,37513,32272,29422,709,82
64,37484,32247,29399,787,82
65,39377,31270,28508,763,79
72,39365,31260,28499,763,111
73,38043,33567,27542,737,107
75,39805,32613,26759,716,104
79,37367,36739,25121,672,98
80,38260,32915,28132,602,87
81,39702,32146,27475,588,85
83,41078,31413,26848,575,83
87,41055,31395,26833,632,83
88,42369,30694,26235,618,81
89,42561,31733,25036,590,78
94,44883,30422,24001,617,75
95,42827,29028,27482,588,71
97,41892,30579,26882,576,70
98,44023,29457,25896,554,67
100,44991,28900,25406,635,66
102,45943,28376,24946,668,64
106,45922,28364,24935,712,64
108,45011,29786,24440,698,63
110,45927,29267,24014,729,62
111,45922,29264,24012,728,71
114,46807,28763,23600,758,70
117,45907,30090,23146,785,68
119,46780,29605,22773,772,67
120,45069,28522,25597,744,65
122,44280,29774,25149,731,64
127,43518,30983,24716,718,63
128,44353,30525,24350,708,62
131,44349,30523,24348,708,69
132,43610,31681,23942,696,68
135,44386,31205,23582,758,67
136,42959,33381,22824,768,65
137,43064,33960,22165,746,63
138,43049,33948,22157,780,63
139,43034,33937,22150,813,63
143,43790,33487,21856,802,62
145,41216,31518,26449,755,59
146,41942,31130,26123,746,58
147,42061,31705,25449,727,56
149,42177,32253,24810,708,49
152,42165,32244,24803,738,49
155,42152,32234,24795,767,49
159,41596,33134,24468,757,42
161,41052,34009,24148,747,41
162,41717,33625,23876,739,41
163,41705,33616,23869,767,41
167,42355,33241,23603,758,40
168,42990,32875,23343,750,40
170,42453,33713,23051,740,40
172,41930,34530,22767,731,39
173,41419,35328,22490,722,39
174,42035,34957,22253,715,38
175,41534,35731,21988,706,38
176,41043,36486,21728,698,43
177,40565,37225,21476,690,42
178,40099,37947,21229,682,42
182,39643,38652,20987,674,41
184,39645,38654,20988,674,36
186,39199,39344,20752,667,36
187,38764,40018,20522,659,35
188,38338,40677,20296,652,35
191,38338,40677,20296,652,35
192,38338,40677,20296,652,35
194,38764,40018,20522,659,35
197,38762,40016,20521,659,40
198,39340,39622,20319,677,40
200,39340,39622,20319,677,40
202,39342,39624,20320,677,35
206,39342,39624,20320,677,35
213,39780,38952,20546,684,35
215,40358,38578,20349,678,35
216,40349,38569,20344,702,35
218,40347,38567,20343,702,40
219,40349,38569,20344,702,35
220,40347,38567,20343,702,40
221,40347,38567,20343,702,40
223,40796,37882,20569,710,40
224,41827,36821,20599,711,40
228,41366,37518,20371,703,40
233,41368,37520,20372,703,35
234,41819,36813,20595,735,35
239,42369,36450,20391,752,35
240,41906,37144,20169,744,35
241,41906,37144,20169,744,35
244,41906,37144,20169,744,35
246,41906,37144,20169,744,35
247,42359,36441,20386,776,35
250,42349,36432,20381,800,35
254,42821,35723,20609,809,35
258,42821,35723,20609,809,35
260,43799,34255,21080,828,36
261,44850,35076,19187,848,37
262,44852,35078,19188,848,32
263,44841,35069,19183,873,32
264,44829,35060,19178,898,32
269,44829,35060,19178,898,32
270,45359,34292,19405,909,32
272,46487,35145,17401,932,33
273,45918,35912,17188,947,32
274,47061,36806,15100,997,33
275,46491,37572,14917,985,33
276,45934,38319,14738,973,32
280,44833,37401,16782,950,32
283,44835,37403,16783,950,26
287,44317,38126,16589,939,26
292,45354,36653,16977,987,27
294,45909,35904,17185,973,27
295,46465,35128,17393,985,27
299,45338,34276,19396,961,27
307,45881,33490,19628,972,27
309,45310,33843,19835,982,27
310,45301,33836,19830,1009,22
313,45289,33827,19825,1035,22
314,45289,33827,19825,1035,22
320,45310,33843,19835,982,27
321,45865,33034,20077,994,28
325,46460,34259,18219,1031,29
328,46457,33793,18662,1056,29
329,45843,34180,18876,1069,30
331,45215,34576,19095,1081,30
332,45228,34586,19101,1052,30
334,45825,33694,19353,1096,30
336,46451,32789,19617,1110,31
337,46465,32798,19623,1081,31
339,48471,32789,17546,1159,32
340,48456,32779,17540,1190,32
342,47808,33191,17761,1205,33
343,48508,32213,18021,1222,33
347,48562,31615,18529,1257,34
351,47894,32047,18782,1240,34
354,47910,32057,18788,1207,34
355,47227,32503,19049,1190,28
356,47247,31879,19618,1226,29
366,46520,32340,19901,1208,29
369,47284,31228,20228,1228,30
370,48074,30078,20566,1248,30
372,48078,30081,20568,1248,22
373,49785,31149,17748,1293,23
375,50661,29936,18061,1315,24
376,51570,28680,18385,1339,24
378,52536,27392,18729,1324,16
379,52747,26470,19392,1371,17
381,54820,23581,20154,1425,17
384,55919,22049,20558,1453,18
386,54323,22847,21303,1506,19
387,53481,23269,21696,1534,19
391,53765,22025,22590,1597,20
395,54976,20269,23099,1633,20
397,56779,21709,19792,1696,22
398,58214,19785,20292,1685,22
